Course Name,Timestamp,Rating,Comment
Data Engineering using AWS Data Analytics Services,2022-08-13 06:53:15,4.5,
"Data Engineering Essentials using SQL, Python, and PySpark",2022-08-13 05:59:54,4.5,"Yes , It was amazing. But I have a doubt regarding the lab . I purchased this course 3-4 months ago. Can I still able to use the lab. Now I got time to learn this."
Data Engineering using AWS Data Analytics Services,2022-08-13 05:04:00,5.0,
Spark SQL and PySpark 3 using Python 3 Hands-On with Labs,2022-08-13 01:56:14,5.0,
Data Engineering using AWS Data Analytics Services,2022-08-12 21:43:08,5.0,
Spark SQL and PySpark 3 using Python 3 Hands-On with Labs,2022-08-12 21:26:36,5.0,
"Data Engineering Essentials using SQL, Python, and PySpark",2022-08-12 15:48:52,1.0,too fast and marketing the it versity
Mastering SQL using Postgresql,2022-08-12 15:30:41,5.0,
Databricks Certified Associate Developer - Apache Spark 2022,2022-08-12 14:51:43,5.0,
Databricks Certified Associate Developer - Apache Spark 2022,2022-08-12 13:42:22,3.0,
Practical Guide to setup Hadoop and Spark Cluster using CDH,2022-08-12 07:20:06,4.5,
Databricks Certified Associate Developer - Apache Spark 2022,2022-08-12 07:12:12,3.5,
"Data Engineering Essentials using SQL, Python, and PySpark",2022-08-12 06:04:37,5.0,
Databricks Certified Associate Developer - Apache Spark 2022,2022-08-12 05:43:17,4.0,
"Data Engineering Essentials using SQL, Python, and PySpark",2022-08-11 20:53:32,5.0,
"Data Engineering Essentials using SQL, Python, and PySpark",2022-08-11 20:52:21,5.0,
Data Engineering using Databricks on AWS and Azure,2022-08-11 20:34:26,5.0,
Mastering AWS Elastic Map Reduce for Data Engineers,2022-08-11 19:42:09,5.0,
Spark SQL and Spark 3 using Scala Hands-On with Labs,2022-08-11 17:38:11,5.0,
Databricks Certified Associate Developer - Apache Spark 2022,2022-08-11 17:28:27,5.0,Awesome course !!
Databricks Certified Associate Developer - Apache Spark 2022,2022-08-11 10:51:27,5.0,Awesome!
Data Engineering using AWS Data Analytics Services,2022-08-11 06:58:29,5.0,
"Data Engineering Essentials using SQL, Python, and PySpark",2022-08-11 06:52:46,5.0,
Data Engineering using AWS Data Analytics Services,2022-08-11 03:16:42,4.0,
"Data Engineering Essentials using SQL, Python, and PySpark",2022-08-11 02:34:33,4.5,Good
Getting Started with AWS Lambda Functions using Python,2022-08-10 19:22:34,5.0,very great course to begin with
Data Engineering using AWS Data Analytics Services,2022-08-10 17:23:02,4.5,
"Sqoop, Hive and Impala for Data Analysts (Formerly CCA 159)",2022-08-10 16:54:20,4.0,
Getting Started with AWS Lambda Functions using Python,2022-08-10 16:44:01,5.0,
"Sqoop, Hive and Impala for Data Analysts (Formerly CCA 159)",2022-08-10 14:37:48,5.0,
Data Engineering using Databricks on AWS and Azure,2022-08-10 12:51:20,5.0,
Scala and Spark 2 - Getting Started,2022-08-10 11:50:26,4.5,
Data Engineering using AWS Data Analytics Services,2022-08-10 10:50:58,5.0,
"Data Engineering Essentials using SQL, Python, and PySpark",2022-08-10 10:35:45,5.0,
Spark SQL and Spark 3 using Scala Hands-On with Labs,2022-08-10 08:39:37,4.5,
"Data Engineering Essentials using SQL, Python, and PySpark",2022-08-10 06:23:32,5.0,
Data Engineering using Databricks on AWS and Azure,2022-08-10 05:26:19,4.5,
Spark SQL and PySpark 3 using Python 3 Hands-On with Labs,2022-08-10 05:02:34,4.5,
"Data Engineering Essentials using SQL, Python, and PySpark",2022-08-09 21:56:20,5.0,
"Data Engineering Essentials using SQL, Python, and PySpark",2022-08-09 20:31:58,5.0,
"Data Engineering Essentials using SQL, Python, and PySpark",2022-08-09 20:29:40,5.0,
Data Engineering using AWS Data Analytics Services,2022-08-09 20:09:37,5.0,
Data Engineering using Databricks on AWS and Azure,2022-08-09 18:09:19,2.5,
Databricks Certified Associate Developer - Apache Spark 2022,2022-08-09 17:56:16,4.0,
Databricks Certified Associate Developer - Apache Spark 2022,2022-08-09 15:21:55,3.0,May be little slow speaking helps. more brief on sql not required
Spark SQL and Spark 3 using Scala Hands-On with Labs,2022-08-09 14:29:44,5.0,
Spark SQL and Spark 3 using Scala Hands-On with Labs,2022-08-09 11:13:07,5.0,
Mastering SQL using Postgresql,2022-08-09 08:52:54,4.5,
"Data Engineering Essentials using SQL, Python, and PySpark",2022-08-09 08:08:17,4.5,"I first found that the course is very detailed, and it is suitable not only for a data analyst to strengthen their skills but also review for further part of this industry."
Getting Started with AWS Lambda Functions using Python,2022-08-09 08:05:22,5.0,
Spark SQL and Spark 3 using Scala Hands-On with Labs,2022-08-09 06:45:47,5.0,
Data Engineering using Databricks on AWS and Azure,2022-08-09 06:30:13,5.0,
Data Engineering using Databricks on AWS and Azure,2022-08-09 05:53:37,4.5,
Data Engineering using Databricks on AWS and Azure,2022-08-09 05:06:24,5.0,
"Data Engineering Essentials using SQL, Python, and PySpark",2022-08-09 03:38:05,5.0,Excellent Teaching
Data Engineering using AWS Data Analytics Services,2022-08-08 19:33:07,5.0,
Databricks Essentials for Spark Developers (Azure and AWS),2022-08-08 17:02:08,5.0,
"Data Engineering Essentials using SQL, Python, and PySpark",2022-08-08 16:03:44,5.0,
"Data Engineering Essentials using SQL, Python, and PySpark",2022-08-08 12:22:00,5.0,The course is great. So many important things are covered which are necessary to excel in your career . Good work by the team.
Spark and Hadoop Practice Tests (Formerly CCA 175 Tests),2022-08-08 10:45:46,3.0,
Data Engineering using Databricks on AWS and Azure,2022-08-08 09:56:07,5.0,
Databricks Essentials for Spark Developers (Azure and AWS),2022-08-08 09:30:20,4.0,
Data Engineering using Databricks on AWS and Azure,2022-08-08 09:05:00,5.0,
"Data Engineering Essentials using SQL, Python, and PySpark",2022-08-08 08:46:16,5.0,
Data Engineering using Databricks on AWS and Azure,2022-08-08 08:42:56,4.0,
Databricks Essentials for Spark Developers (Azure and AWS),2022-08-08 04:43:38,4.5,
"Data Engineering Essentials using SQL, Python, and PySpark",2022-08-08 03:46:21,5.0,
Data Engineering using Databricks on AWS and Azure,2022-08-07 21:50:53,5.0,
Data Engineering using AWS Data Analytics Services,2022-08-07 21:23:11,5.0,
Databricks Certified Associate Developer - Apache Spark 2022,2022-08-07 20:45:08,4.0,
Data Engineering using Databricks on AWS and Azure,2022-08-07 18:58:26,5.0,
Data Engineering using Databricks on AWS and Azure,2022-08-07 17:51:46,1.0,"Waste of money, extreme low level basics that you can find in YouTube videos too , same low level basic content repeated for azure and aws , he can reuse most of the stuff than rewriting the same thing just passing the time ."
Data Engineering using AWS Data Analytics Services,2022-08-07 14:17:52,5.0,
"Sqoop, Hive and Impala for Data Analysts (Formerly CCA 159)",2022-08-07 09:48:23,5.0,Course content is awesome. Durga has explained the concepts in very simple language that even a school student can understand the concepts along with practical handson.
Spark SQL and Spark 3 using Scala Hands-On with Labs,2022-08-07 08:44:28,5.0,
Databricks Certified Associate Developer - Apache Spark 2022,2022-08-07 07:25:22,5.0,
Databricks Certified Associate Developer - Apache Spark 2022,2022-08-07 06:26:11,5.0,
Data Engineering using AWS Data Analytics Services,2022-08-07 05:17:40,5.0,
Data Engineering using Databricks on AWS and Azure,2022-08-06 21:40:57,4.5,
Databricks Certified Associate Developer - Apache Spark 2022,2022-08-06 20:44:44,2.5,
"Data Engineering Essentials using SQL, Python, and PySpark",2022-08-06 19:37:30,5.0,
Data Engineering using Databricks on AWS and Azure,2022-08-06 16:30:38,5.0,
Build streaming applications using Apache Kafka and Scala,2022-08-06 15:05:34,5.0,kafka now a days using for streaming which important for us
Practical Guide to setup Hadoop and Spark Cluster using CDH,2022-08-06 15:04:49,5.0,it helps us to know practically to aware of hadoop
Spark SQL and PySpark 3 using Python 3 Hands-On with Labs,2022-08-06 15:02:29,4.5,I like the course content to upgrade my career
"Data Engineering Essentials using SQL, Python, and PySpark",2022-08-06 10:20:07,4.0,
Data Engineering using Databricks on AWS and Azure,2022-08-06 09:53:39,4.0,
